ticker,open,closed,high,low,index,time_span,time_value,start_date
ADI,,,,,,,,
ANSS,,,,,,,,
AON,,,,,,,,
APA,,,,,,,,
AAPL,,,,,,,,
AMAT,,,,,,,,
APTV,,,,,,,,
ACGL,,,,,,,,
ADM,,,,,,,,
ANET,,,,,,,,
AJG,,,,,,,,
AIZ,,,,,,,,
T,,,,,,,,
ATO,,,,,,,,
ADSK,,,,,,,,
ADP,,,,,,,,
AZO,,,,,,,,
AVB,,,,,,,,
AVY,,,,,,,,
AXON,,,,,,,,
BKR,,,,,,,,
BALL,,,,,,,,
BAC,,,,,,,,
BK,,,,,,,,
BBWI,,,,,,,,
BAX,,,,,,,,
BDX,,,,,,,,
BRK.B,,,,,,,,
BBY,,,,,,,,
BIO,,,,,,,,
TECH,,,,,,,,
BIIB,,,,,,,,
BLK,,,,,,,,
BX,,,,,,,,
BA,,,,,,,,
BKNG,,,,,,,,
BWA,,,,,,,,
BXP,,,,,,,,
BSX,,,,,,,,
BMY,,,,,,,,
AVGO,,,,,,,,
BR,,,,,,,,
BRO,,,,,,,,
BF.B,,,,,,,,
BLDR,,,,,,,,
BG,,,,,,,,
CDNS,,,,,,,,
CZR,,,,,,,,
CPT,,,,,,,,
CPB,,,,,,,,
COF,,,,,,,,
CAH,,,,,,,,
KMX,,,,,,,,
CCL,,,,,,,,
CARR,,,,,,,,
CTLT,,,,,,,,
CAT,,,,,,,,
CBOE,,,,,,,,
CBRE,,,,,,,,
CDW,,,,,,,,
CE,,,,,,,,
COR,,,,,,,,
CNC,,,,,,,,
CNP,,,,,,,,
CF,,,,,,,,
CHRW,,,,,,,,
CRL,,,,,,,,
SCHW,,,,,,,,
CHTR,,,,,,,,
CVX,,,,,,,,
CMG,,,,,,,,
CB,,,,,,,,
CHD,,,,,,,,
CI,,,,,,,,
CINF,,,,,,,,
CTAS,,,,,,,,
CSCO,,,,,,,,
C,,,,,,,,
CFG,,,,,,,,
CLX,,,,,,,,
CME,,,,,,,,
CMS,,,,,,,,
KO,,,,,,,,
CTSH,,,,,,,,
CL,,,,,,,,
CMCSA,,,,,,,,
CMA,,,,,,,,
CAG,,,,,,,,
COP,,,,,,,,
ED,,,,,,,,
STZ,,,,,,,,
CEG,,,,,,,,
COO,,,,,,,,
CPRT,,,,,,,,
GLW,,,,,,,,
CTVA,,,,,,,,
CSGP,,,,,,,,
COST,,,,,,,,
CTRA,,,,,,,,
CCI,,,,,,,,
CSX,,,,,,,,
CMI,,,,,,,,
CVS,,,,,,,,
DHR,,,,,,,,
DRI,,,,,,,,
DVA,,,,,,,,
DAY,,,,,,,,
DECK,,,,,,,,
DE,,,,,,,,
DAL,,,,,,,,
XRAY,,,,,,,,
DVN,,,,,,,,
DXCM,,,,,,,,
FANG,,,,,,,,
DLR,,,,,,,,
DFS,,,,,,,,
DG,,,,,,,,
DLTR,,,,,,,,
D,,,,,,,,
DPZ,,,,,,,,
DOV,,,,,,,,
DOW,,,,,,,,
DHI,,,,,,,,
DTE,,,,,,,,
DUK,,,,,,,,
DD,,,,,,,,
EMN,,,,,,,,
ETN,,,,,,,,
EBAY,,,,,,,,
ECL,,,,,,,,
EIX,,,,,,,,
EW,,,,,,,,
EA,,,,,,,,
ELV,,,,,,,,
LLY,,,,,,,,
EMR,,,,,,,,
ENPH,,,,,,,,
ETR,,,,,,,,
EOG,,,,,,,,
EPAM,,,,,,,,
EQT,,,,,,,,
EFX,,,,,,,,
EQIX,,,,,,,,
EQR,,,,,,,,
ESS,,,,,,,,
EL,,,,,,,,
ETSY,,,,,,,,
EG,,,,,,,,
EVRG,,,,,,,,
ES,,,,,,,,
EXC,,,,,,,,
EXPE,,,,,,,,
EXPD,,,,,,,,
EXR,,,,,,,,
XOM,,,,,,,,
FFIV,,,,,,,,
FDS,,,,,,,,
FICO,,,,,,,,
FAST,,,,,,,,
FRT,,,,,,,,
FDX,,,,,,,,
FIS,,,,,,,,
FITB,,,,,,,,
FSLR,,,,,,,,
FE,,,,,,,,
FI,,,,,,,,
FLT,,,,,,,,
FMC,,,,,,,,
F,,,,,,,,
FTNT,,,,,,,,
FTV,,,,,,,,
FOXA,,,,,,,,
FOX,,,,,,,,
BEN,,,,,,,,
FCX,,,,,,,,
GRMN,,,,,,,,
IT,,,,,,,,
GEHC,,,,,,,,
GEN,,,,,,,,
GNRC,,,,,,,,
GD,,,,,,,,
GE,,,,,,,,
GIS,,,,,,,,
GM,,,,,,,,
GPC,,,,,,,,
GILD,,,,,,,,
GPN,,,,,,,,
GL,,,,,,,,
GS,,,,,,,,
HAL,,,,,,,,
HIG,,,,,,,,
HAS,,,,,,,,
HCA,,,,,,,,
DOC,,,,,,,,
HSIC,,,,,,,,
HSY,,,,,,,,
HES,,,,,,,,
HPE,,,,,,,,
HLT,,,,,,,,
HOLX,,,,,,,,
HD,,,,,,,,
HON,,,,,,,,
HRL,,,,,,,,
HST,,,,,,,,
HWM,,,,,,,,
HPQ,,,,,,,,
HUBB,,,,,,,,
HUM,,,,,,,,
HBAN,,,,,,,,
HII,,,,,,,,
IBM,,,,,,,,
IEX,,,,,,,,
IDXX,,,,,,,,
ITW,,,,,,,,
ILMN,,,,,,,,
INCY,,,,,,,,
IR,,,,,,,,
PODD,,,,,,,,
INTC,,,,,,,,
ICE,,,,,,,,
IFF,,,,,,,,
IP,,,,,,,,
IPG,,,,,,,,
INTU,,,,,,,,
ISRG,,,,,,,,
IVZ,,,,,,,,
INVH,,,,,,,,
IQV,,,,,,,,
IRM,,,,,,,,
JBHT,,,,,,,,
JBL,,,,,,,,
JKHY,,,,,,,,
J,,,,,,,,
JNJ,,,,,,,,
JCI,,,,,,,,
JPM,,,,,,,,
JNPR,,,,,,,,
K,,,,,,,,
KVUE,,,,,,,,
KDP,,,,,,,,
KEY,,,,,,,,
KEYS,,,,,,,,
KMB,,,,,,,,
KIM,,,,,,,,
KMI,,,,,,,,
KLAC,,,,,,,,
KHC,,,,,,,,
KR,,,,,,,,
LHX,,,,,,,,
LH,,,,,,,,
LRCX,,,,,,,,
LW,,,,,,,,
LVS,,,,,,,,
LDOS,,,,,,,,
LEN,,,,,,,,
LIN,,,,,,,,
LYV,,,,,,,,
LKQ,,,,,,,,
LMT,,,,,,,,
L,,,,,,,,
LOW,,,,,,,,
LULU,,,,,,,,
LYB,,,,,,,,
MTB,,,,,,,,
MRO,,,,,,,,
MPC,,,,,,,,
MKTX,,,,,,,,
MAR,,,,,,,,
MMC,,,,,,,,
MLM,,,,,,,,
MAS,,,,,,,,
MA,,,,,,,,
MTCH,,,,,,,,
MKC,,,,,,,,
MCD,,,,,,,,
MCK,,,,,,,,
MDT,,,,,,,,
MRK,,,,,,,,
META,,,,,,,,
MET,,,,,,,,
MTD,,,,,,,,
MGM,,,,,,,,
MCHP,,,,,,,,
MU,,,,,,,,
MSFT,,,,,,,,
MAA,,,,,,,,
MRNA,,,,,,,,
MHK,,,,,,,,
MOH,,,,,,,,
TAP,,,,,,,,
MDLZ,,,,,,,,
MPWR,,,,,,,,
MNST,,,,,,,,
MCO,,,,,,,,
MS,,,,,,,,
MOS,,,,,,,,
MSI,,,,,,,,
MSCI,,,,,,,,
NDAQ,,,,,,,,
NTAP,,,,,,,,
NFLX,,,,,,,,
NEM,,,,,,,,
NWSA,,,,,,,,
NWS,,,,,,,,
NEE,,,,,,,,
NKE,,,,,,,,
NI,,,,,,,,
NDSN,,,,,,,,
NSC,,,,,,,,
NTRS,,,,,,,,
NOC,,,,,,,,
NCLH,,,,,,,,
NRG,,,,,,,,
NUE,,,,,,,,
NVDA,,,,,,,,
NVR,,,,,,,,
NXPI,,,,,,,,
ORLY,,,,,,,,
OXY,,,,,,,,
ODFL,,,,,,,,
OMC,,,,,,,,
ON,,,,,,,,
OKE,,,,,,,,
ORCL,,,,,,,,
OTIS,,,,,,,,
PCAR,,,,,,,,
PKG,,,,,,,,
PANW,,,,,,,,
PARA,,,,,,,,
PH,,,,,,,,
PAYX,,,,,,,,
PAYC,,,,,,,,
PYPL,,,,,,,,
PNR,,,,,,,,
PEP,,,,,,,,
PFE,,,,,,,,
PCG,,,,,,,,
PM,,,,,,,,
PSX,,,,,,,,
PNW,,,,,,,,
PXD,,,,,,,,
PNC,,,,,,,,
POOL,,,,,,,,
PPG,,,,,,,,
PPL,,,,,,,,
PFG,,,,,,,,
PG,,,,,,,,
PGR,,,,,,,,
PLD,,,,,,,,
PRU,,,,,,,,
PEG,,,,,,,,
PTC,,,,,,,,
PSA,,,,,,,,
PHM,,,,,,,,
QRVO,,,,,,,,
PWR,,,,,,,,
QCOM,,,,,,,,
DGX,,,,,,,,
RL,,,,,,,,
RJF,,,,,,,,
RTX,,,,,,,,
O,,,,,,,,
REG,,,,,,,,
REGN,,,,,,,,
RF,,,,,,,,
RSG,,,,,,,,
RMD,,,,,,,,
RVTY,,,,,,,,
RHI,,,,,,,,
ROK,,,,,,,,
ROL,,,,,,,,
ROP,,,,,,,,
ROST,,,,,,,,
RCL,,,,,,,,
SPGI,,,,,,,,
CRM,,,,,,,,
SBAC,,,,,,,,
SLB,,,,,,,,
STX,,,,,,,,
SRE,,,,,,,,
NOW,,,,,,,,
SHW,,,,,,,,
SPG,,,,,,,,
SWKS,,,,,,,,
SJM,,,,,,,,
SNA,,,,,,,,
SO,,,,,,,,
LUV,,,,,,,,
SWK,,,,,,,,
SBUX,,,,,,,,
STT,,,,,,,,
STLD,,,,,,,,
STE,,,,,,,,
SYK,,,,,,,,
SMCI,,,,,,,,
SYF,,,,,,,,
SNPS,,,,,,,,
SYY,,,,,,,,
TMUS,,,,,,,,
TROW,,,,,,,,
TTWO,,,,,,,,
TPR,,,,,,,,
TRGP,,,,,,,,
TGT,,,,,,,,
TEL,,,,,,,,
TDY,,,,,,,,
TFX,,,,,,,,
TER,,,,,,,,
TSLA,,,,,,,,
TXN,,,,,,,,
TXT,,,,,,,,
TMO,,,,,,,,
TJX,,,,,,,,
TSCO,,,,,,,,
TT,,,,,,,,
TDG,,,,,,,,
TRV,,,,,,,,
TRMB,,,,,,,,
TFC,,,,,,,,
TYL,,,,,,,,
TSN,,,,,,,,
USB,,,,,,,,
UBER,,,,,,,,
UDR,,,,,,,,
ULTA,,,,,,,,
UNP,,,,,,,,
UAL,,,,,,,,
UPS,,,,,,,,
URI,,,,,,,,
UNH,,,,,,,,
UHS,,,,,,,,
VLO,,,,,,,,
VTR,,,,,,,,
VLTO,,,,,,,,
VRSN,,,,,,,,
VRSK,,,,,,,,
VZ,,,,,,,,
VRTX,,,,,,,,
VFC,,,,,,,,
VTRS,,,,,,,,
VICI,,,,,,,,
V,,,,,,,,
VMC,,,,,,,,
WRB,,,,,,,,
WAB,,,,,,,,
WBA,,,,,,,,
WMT,,,,,,,,
DIS,,,,,,,,
WBD,,,,,,,,
WM,,,,,,,,
WAT,,,,,,,,
WEC,,,,,,,,
WFC,,,,,,,,
WELL,,,,,,,,
WST,,,,,,,,
WDC,,,,,,,,
WRK,,,,,,,,
WY,,,,,,,,
WMB,,,,,,,,
WTW,,,,,,,,
GWW,,,,,,,,
WYNN,,,,,,,,
XEL,,,,,,,,
XYL,,,,,,,,
YUM,,,,,,,,
ZBRA,,,,,,,,
ZBH,,,,,,,,
ZTS,,,,,,,,
